id;code;date;details;status;payment_method;payment_date;payment_amount;product_order_id
1;Texas Concrete;2020-11-19T11:47:28;capability Loop Unbranded Frozen Towels;CANCELLED;CREDIT_CARD;2020-11-18T23:40:10;75071;94375
2;program Unbranded;2020-11-19T11:56:28;Marketing Consultant Berkshire;ISSUED;CASH_ON_DELIVERY;2020-11-19T04:20:59;8068;31806
3;Indian Rupee Ngultrum;2020-11-19T13:54:39;program PNG parse;ISSUED;CASH_ON_DELIVERY;2020-11-19T11:21:00;92121;74564
4;transmitting EXE parse;2020-11-19T10:18:29;open architecture;PAID;PAYPAL;2020-11-19T17:22:33;99574;33894
5;attitude-oriented;2020-11-19T04:49:26;Integration structure;CANCELLED;PAYPAL;2020-11-19T06:56:56;72584;98923
6;SDD auxiliary Utah;2020-11-19T07:53:54;Intelligent Frozen Salad;CANCELLED;PAYPAL;2020-11-18T23:16:05;7073;6807
7;Customer;2020-11-19T18:20:58;Cotton Auto Loan Account;ISSUED;CASH_ON_DELIVERY;2020-11-18T22:37:30;32780;10756
8;Arizona Awesome Fresh Soap system;2020-11-19T04:34:39;Handcrafted Steel Ball CSS;CANCELLED;CREDIT_CARD;2020-11-19T04:23:42;50263;19746
9;applications Generic;2020-11-19T02:49:25;Assurance;ISSUED;CASH_ON_DELIVERY;2020-11-19T17:27:04;36970;88317
10;functionalities bifurcated;2020-11-19T12:34:49;Investment Account;PAID;CREDIT_CARD;2020-11-19T12:34:49;94911;93817
