id;tracking_code;date;details;invoice_id
1;Mouse withdrawal;2020-11-18T19:59:12;payment unleash Jamaican Dollar;1
2;Rest;2020-11-19T15:15:42;Plains;2
3;Quality Plastic plum;2020-11-18T19:36:04;Minnesota parsing;3
4;Gorgeous Soft Hat Generic;2020-11-19T16:03:16;Architect SSL;4
5;zero tolerance;2020-11-19T12:59:35;user-facing CSS;5
6;ADP Ouguiya;2020-11-19T08:56:03;Garden;6
7;auxiliary;2020-11-19T17:12:03;functionalities Bedfordshire withdrawal;7
8;Data;2020-11-18T20:10:04;Viaduct hybrid;8
9;mesh;2020-11-19T18:35:43;human-resource Shoes Wooden;9
10;calculate value-added Metal;2020-11-19T16:34:37;Re-engineered withdrawal Ball;10
